Date,Close,High,Low,Open,Volume
2009-04-08,"3,000.00","3,190.00","2,955.00","3,120.00","112,668"
2009-04-07,"3,140.00","3,290.00","3,115.00","3,250.00","51,198"
2009-04-06,"3,290.00","3,350.00","3,225.00","3,325.00","65,468"
2009-04-03,"3,290.00","3,385.00","3,230.00","3,270.00","67,815"
2009-04-02,"3,195.00","3,245.00","3,135.00","3,245.00","55,020"
2009-04-01,"3,120.00","3,250.00","3,030.00","3,100.00","60,282"
2009-03-31,"3,075.00","3,145.00","2,920.00","2,950.00","90,948"
2009-03-30,"2,980.00","3,185.00","2,975.00","3,150.00","90,847"
2009-03-27,"3,150.00","3,300.00","2,930.00","2,990.00","182,090"
2009-03-26,"2,950.00","3,000.00","2,760.00","2,820.00","128,127"
2009-03-25,"2,755.00","2,900.00","2,550.00","2,645.00","78,206"
2009-03-24,"2,650.00","2,745.00","2,650.00","2,720.00","49,734"
2009-03-23,"2,670.00","2,750.00","2,635.00","2,635.00","64,177"
2009-03-20,"2,685.00","2,735.00","2,550.00","2,660.00","136,522"
2009-03-19,"2,660.00","2,790.00","2,630.00","2,790.00","160,534"
2009-03-18,"2,790.00","2,975.00","2,790.00","2,975.00","58,335"
2009-03-17,"2,900.00","2,900.00","2,720.00","2,800.00","92,805"
2009-03-16,"2,840.00","3,170.00","2,830.00","3,020.00","121,226"
2009-03-13,"3,010.00","3,100.00","2,735.00","2,820.00","144,033"
2009-03-12,"2,700.00","2,780.00","2,425.00","2,500.00","105,207"
2009-03-11,"2,460.00","2,540.00","2,420.00","2,515.00","83,924"
2009-03-10,"2,395.00","2,500.00","2,300.00","2,430.00","127,555"
2009-03-09,"2,440.00","2,515.00","2,220.00","2,350.00","127,305"
2009-03-06,"2,200.00","2,270.00","2,085.00","2,185.00","80,828"
2009-03-05,"2,215.00","2,390.00","2,150.00","2,290.00","115,832"
2009-03-04,"2,235.00","2,235.00","1,970.00","1,975.00","105,567"
2009-03-03,"1,945.00","2,000.00","1,815.00","1,955.00","111,584"
2009-03-02,"2,040.00","2,350.00","2,040.00","2,350.00","238,513"
2009-02-27,"2,400.00","2,570.00","2,400.00","2,570.00","43,156"
